001	0	0	0	0	0	0
002	69	666	0	0	0	0
003	846	256	537	46	26	978
004	0	0	0	0	0	0
005	150096	1464	1771	8217	22693	204
008	75	1244	663	300	28	12
009	50	405	148	0	0	71
010	0	0	0	0	0	0
011	210	459	125	354	0	0
012	0	0	0	0	0	0
013	798	853	230	928	111	116
014	23796	6893	536	387	0	0
015	0	0	0	0	0	0
017	5905	632	3775	3031	6572	269
020	7580	130	2170	277	0	0
021	9865	6454	3630	472	3040	2388
023	7	0	0	0	0	0
024	5379	5039	950	49	30	48
025	3925	2551	95	816	0	26
026	1302	13873	4188	531	928	355
027	0	0	0	0	0	0
028	0	226	29	212	88	84
029	2131	666	91	9	61	17
030	2888	351	49	0	72	92
032	1597	6056	229	135	156	0
036	11741	5532	5174	379	0	31
038	164656	96	929	27	0	61
039	0	0	0	0	0	0
040	3785	19	4	0	0	0
041	6396	49	0	347	0	0
042	0	0	0	0	0	0
044	11162	82	14	3	553	0
046	55	0	0	0	0	0
047	0	124	0	0	0	0
048	0	0	0	0	0	0
049	0	0	0	0	0	0
050	4902	2	2	676	545	0
051	0	0	0	0	0	0
052	813	3062	2829	476	2531	7
053	357	262	0	109	0	0
054	1059	594	37	0	0	0
055	212	141	722	187	56	840
056	2957	1054	92	49	26	9
057	66	79	180	15	0	0
058	24710	7703	4435	245	305	69
059	20	113	43	9	0	0
060	4907	0	0	0	0	0
061	114	2	29	24	60	0
063	41	83	205	9	65	0
066	6297	12604	12433	17186	7	107
067	185	3	161	25	0	3
068	51	61	42	0	0	0
069	304	92	539	610	392	334
070	2739	6370	686	910	376	452
071	95	75	0	0	0	0
072	0	0	0	0	0	0
073	1825	0	0	56	38	38
074	2639	4	12	0	0	0
075	420	42	0	0	0	0
077	0	0	0	0	0	0
078	5	0	0	0	0	0
079	74	14	0	33	0	0
080	3809	48	2	0	0	0
081	1229	6758	0	273	0	20
084	41	28	29	16	0	0
085	0	0	0	0	0	0
086	1007	443	5	0	0	32
088	0	0	0	0	0	0
089	0	0	0	0	0	0
090	1716	0	120	145	585	40
091	482	380	0	0	0	0
092	0	0	0	0	0	0
093	0	0	0	0	0	0
096	9332	6337	1097	510	105	74
097	2133	516	623	189	93	4
