1	40723	103	4545
2	36607	0	17861
3	7277	0	0
4	78661	0	0
5	29875	0	3
6	20805	48	3
7	33664	0	3
8	9398	0	3
9	25613	0	0
10	11390	0	0
11	22058	0	0
12	3033	223	0
13	1302	0	0
14	2078	0	0
15	4261	0	0
16	16245	0	0
17	17788	0	0
18	8281	0	0
19	41259	0	0
20	44741	0	0
21	23875	0	7
22	9437	0	7
23	16616	0	7
24	26053	0	0
25	18711	0	0
26	8418	0	0
27	12447	0	0
28	10558	0	0
29	1458	0	0
30	13065	0	0
31	55325	0	0
32	2346	0	0
33	9097	0	0
34	8334	0	0
35	45119	0	0
36	12830	0	0
37	14578	0	0
38	14643	0	0
39	6873	0	0
40	23259	0	0
41	42996	0	0
42	23523	0	0
43	31243	0	0
44	24190	0	0
45	16362	0	0
46	15545	0	0
47	9926	0	0
48	8624	0	0
49	9360	0	0
50	9917	0	0
