1	337490	29830	163300
2	106364	23764	102948
3	142682	0	91438
4	123378	0	52839
5	358250	841	15257
6	132714	9688	18870
7	124305	0	13444
8	91366	0	19045
9	18887	0	14921
10	8582	150	10474
11	71239	0	3148
12	130650	0	4743
13	19537	0	2898
14	79687	0	701
15	35168	0	22
16	72110	0	0
17	80048	0	173
18	15953	0	173
19	63259	0	0
20	35694	0	3
21	15804	0	208
22	33458	0	303
23	27420	0	317
24	228869	0	342
25	48950	0	0
26	72167	0	0
27	79675	0	0
28	37204	0	0
29	197904	0	0
30	261949	0	0
31	68692	0	109
32	152353	0	267
33	262636	0	186
34	34280	0	73
35	58095	0	73
36	90562	0	78
37	23051	0	78
38	15351	0	17
39	61080	0	17
40	34640	0	12
41	45395	0	0
42	16508	0	0
43	9735	0	0
44	18076	0	0
45	19498	0	0
46	96296	0	306
47	38537	0	0
48	51502	0	0
49	75992	0	45
50	191847	0	47
